Schaefer_Region,Brainnetome_Region,Overlap_Percentage
1,195,51.37614678899083
1,105,27.339449541284406
1,119,6.055045871559633
1,103,5.871559633027523
1,197,0.1834862385321101
1,217,0.1834862385321101
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
2,105,42.857142857142854
2,205,25.643300798580306
2,189,19.077196095829635
2,195,7.364685004436557
2,107,0.8873114463176575
2,193,0.354924578527063
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
3,201,30.261348005502064
3,107,28.473177441540575
3,205,11.141678129298487
3,91,10.31636863823934
3,97,8.390646492434662
3,105,3.0261348005502064
3,85,0.1375515818431912
3,1,0.0
3,2,0.0
3,3,0.0
4,195,63.63636363636363
4,191,15.28046421663443
4,189,12.76595744680851
4,197,2.7079303675048356
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
5,205,52.54901960784314
5,203,34.509803921568626
5,193,0.130718954248366
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
6,119,25.766871165644172
6,181,20.858895705521473
6,197,19.631901840490798
6,195,12.269938650306749
6,215,4.294478527607362
6,217,0.6134969325153374
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
7,193,52.215568862275454
7,189,17.12574850299401
7,203,13.17365269461078
7,191,9.820359281437126
7,205,1.9161676646706587
7,194,1.0778443113772456
7,190,0.23952095808383234
7,1,0.0
7,2,0.0
7,3,0.0
8,201,51.47679324894515
8,143,28.973277074542896
8,85,10.68917018284107
8,123,2.5316455696202533
8,199,0.5625879043600562
8,135,0.42194092827004215
8,97,0.14064697609001406
8,1,0.0
8,2,0.0
8,3,0.0
9,203,58.51197982345523
9,199,30.76923076923077
9,205,4.4136191677175285
9,193,1.3871374527112232
9,1,0.0
9,2,0.0
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
10,197,53.61702127659574
10,191,32.340425531914896
10,151,6.170212765957447
10,192,1.5957446808510638
10,181,1.4893617021276597
10,195,0.5319148936170213
10,193,0.425531914893617
10,1,0.0
10,2,0.0
10,3,0.0
11,199,41.958887545344616
11,135,27.81136638452237
11,201,14.147521160822249
11,205,8.706166868198308
11,143,1.4510278113663846
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
12,197,67.55162241887905
12,151,24.778761061946902
12,191,1.4749262536873156
12,207,0.5899705014749262
12,153,0.2949852507374631
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
13,207,39.015817223198596
13,191,19.68365553602812
13,193,10.017574692442881
13,197,7.732864674868189
13,209,5.711775043936731
13,203,4.042179261862917
13,194,2.460456942003515
13,151,1.3181019332161688
13,192,0.5272407732864675
13,1,0.0
14,209,24.396442185514612
14,199,23.252858958068614
14,135,20.584498094027953
14,207,15.628970775095299
14,203,8.640406607369759
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
15,73,71.16357504215851
15,79,9.443507588532883
15,163,4.0472175379426645
15,77,3.87858347386172
15,61,1.6863406408094435
15,169,1.0118043844856661
15,157,0.6745362563237773
15,39,0.33726812816188867
15,173,0.16863406408094433
15,1,0.0
16,71,39.84867591424969
16,73,31.147540983606557
16,145,8.953341740226985
16,75,5.170239596469105
16,157,3.909205548549811
16,79,3.0264817150063053
16,163,0.25220680958385877
16,1,0.0
16,2,0.0
16,3,0.0
17,163,39.7979797979798
17,171,17.575757575757574
17,157,16.565656565656568
17,145,12.525252525252526
17,73,5.656565656565657
17,61,0.20202020202020202
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
18,61,45.83333333333333
18,157,35.339506172839506
18,53,6.635802469135803
18,73,2.6234567901234565
18,171,2.006172839506173
18,63,0.7716049382716049
18,155,0.30864197530864196
18,173,0.15432098765432098
18,1,0.0
18,2,0.0
19,145,54.66321243523316
19,157,41.19170984455959
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.0
19,7,0.0
19,8,0.0
20,155,47.5177304964539
20,53,33.56973995271868
20,157,8.39243498817967
20,159,1.3002364066193852
20,61,0.2364066193853428
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
21,53,63.4469696969697
21,155,10.416666666666668
21,55,8.712121212121213
21,63,5.492424242424242
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
22,9,34.19117647058824
22,185,30.14705882352941
22,67,13.786764705882353
22,183,8.63970588235294
22,65,1.1029411764705883
22,68,1.1029411764705883
22,10,0.5514705882352942
22,1,0.0
22,2,0.0
22,3,0.0
23,159,62.96296296296296
23,155,9.49074074074074
23,161,1.8518518518518516
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
24,155,52.37226277372263
24,57,16.05839416058394
24,161,13.686131386861314
24,53,4.197080291970803
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
25,131,56.91056910569105
25,129,21.40921409214092
25,159,2.710027100271003
25,161,0.27100271002710025
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
26,57,54.92730210016155
26,53,16.80129240710824
26,59,7.592891760904685
26,55,6.78513731825525
26,155,2.5848142164781907
26,161,0.48465266558966075
26,1,0.0
26,2,0.0
26,3,0.0
26,4,0.0
27,161,52.574525745257446
27,159,13.279132791327914
27,131,12.466124661246612
27,1,0.0
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,0.0
28,55,43.83057090239411
28,7,26.519337016574585
28,59,13.259668508287293
28,9,5.524861878453039
28,1,0.0
28,2,0.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.0
29,67,33.02752293577982
29,65,21.376146788990827
29,59,12.568807339449542
29,161,8.623853211009175
29,149,5.5045871559633035
29,57,3.0275229357798166
29,9,1.743119266055046
29,68,1.743119266055046
29,131,0.45871559633027525
29,66,0.3669724770642202
30,161,68.62068965517241
30,57,23.448275862068964
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
31,107,45.98070739549839
31,91,17.926045016077172
31,105,10.45016077170418
31,101,8.19935691318328
31,103,6.028938906752412
31,89,4.742765273311897
31,99,1.6881028938906755
31,97,0.8842443729903537
31,1,0.0
31,2,0.0
32,85,48.17749603803487
32,97,46.75118858954041
32,123,1.5847860538827259
32,201,0.7923930269413629
32,91,0.6339144215530903
32,99,0.31695721077654515
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
33,209,34.797891036906854
33,135,34.62214411247803
33,127,12.478031634446397
33,133,7.9086115992970125
33,137,4.745166959578207
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
34,139,51.71102661596958
34,159,21.482889733840306
34,155,12.357414448669202
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
35,159,53.92156862745098
35,139,18.137254901960784
35,129,10.53921568627451
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
36,129,70.34313725490196
36,133,12.254901960784313
36,137,5.392156862745098
36,139,1.4705882352941175
36,1,0.0
36,2,0.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
37,127,50.814332247557005
37,209,13.355048859934854
37,125,6.514657980456026
37,133,2.2801302931596092
37,147,1.3029315960912053
37,207,0.16286644951140067
37,1,0.0
37,2,0.0
37,3,0.0
37,4,0.0
38,133,63.109756097560975
38,125,7.01219512195122
38,129,3.6585365853658534
38,137,3.353658536585366
38,127,0.3048780487804878
38,1,0.0
38,2,0.0
38,3,0.0
38,4,0.0
38,5,0.0
39,147,46.97885196374622
39,149,26.73716012084592
39,125,13.444108761329304
39,127,3.927492447129909
39,150,2.56797583081571
39,131,0.1510574018126888
39,153,0.1510574018126888
39,154,0.1510574018126888
39,1,0.0
39,2,0.0
